Partie,Joueur Gagnant,Nombres de coups,Durée
428,4,27,6.75
429,3,23,5.75
430,2,11,2.75
431,2,22,5.5
432,3,53,13.25
433,2,14,3.5
434,2,28,7.0
435,4,9,2.25
436,2,12,3.0
437,2,11,2.75
438,1,18,4.5
439,1,14,3.5
440,1,23,5.75
441,3,12,3.0
442,1,42,10.5
443,4,22,5.5
444,1,20,5.0
445,3,13,3.25
446,1,6,1.5
447,1,48,12.0
448,4,24,6.0
449,2,24,6.0
450,3,11,2.75
451,2,34,8.5
452,3,9,2.25
453,4,28,7.0
454,1,4,1.0
455,3,3,0.75
456,4,42,10.5
457,4,3,0.75
458,1,87,21.75
459,3,11,2.75
460,2,13,3.25
461,3,34,8.5
462,4,17,4.25
463,3,11,2.75
464,2,21,5.25
465,3,21,5.25
466,4,40,10.0
467,3,23,5.75
468,3,35,8.75
469,4,44,11.0
470,3,15,3.75
471,2,17,4.25
472,3,9,2.25
473,2,55,13.75
474,2,21,5.25
475,1,10,2.5
476,3,55,13.75
477,3,16,4.0
478,1,16,4.0
479,3,41,10.25
480,1,24,6.0
481,1,18,4.5
482,1,12,3.0
483,3,31,7.75
484,4,32,8.0
485,1,16,4.0
486,3,8,2.0
487,2,54,13.5
488,4,31,7.75
489,2,24,6.0
490,2,19,4.75
491,4,21,5.25
492,4,18,4.5
493,3,9,2.25
494,3,20,5.0
495,1,19,4.75
496,3,12,3.0
497,4,28,7.0
498,3,34,8.5
499,1,22,5.5
500,3,10,2.5
501,4,26,6.5
502,3,42,10.5
503,3,21,5.25
504,4,13,3.25
505,4,25,6.25
506,3,24,6.0
507,3,72,18.0
508,3,47,11.75
509,1,16,4.0
510,3,12,3.0
511,2,18,4.5
512,3,9,2.25
513,1,48,12.0
514,4,11,2.75
515,3,10,2.5
516,1,89,22.25
517,4,15,3.75
518,1,16,4.0
519,3,17,4.25
520,3,18,4.5
521,3,21,5.25
522,2,26,6.5
523,2,26,6.5
524,3,9,2.25
525,2,41,10.25
526,3,2,0.5
527,3,10,2.5
528,1,41,10.25
529,3,13,3.25
530,4,13,3.25
531,4,21,5.25
532,4,9,2.25
533,4,54,13.5
534,4,39,9.75
535,1,25,6.25
536,4,23,5.75
537,1,46,11.5
538,3,22,5.5
539,3,9,2.25
540,3,13,3.25
541,2,14,3.5
542,1,42,10.5
543,3,46,11.5
544,3,10,2.5
545,1,11,2.75
546,1,29,7.25
547,4,25,6.25
548,1,14,3.5
549,2,29,7.25
550,4,5,1.25
551,4,23,5.75
552,4,15,3.75
553,2,33,8.25
554,2,22,5.5
555,3,10,2.5
556,2,42,10.5
557,2,39,9.75
558,3,23,5.75
559,4,55,13.75
560,1,13,3.25
561,2,49,12.25
562,1,21,5.25
563,3,13,3.25
564,4,19,4.75
565,3,21,5.25
566,3,53,13.25
567,1,15,3.75
568,1,38,9.5
569,3,12,3.0
570,3,15,3.75
571,1,10,2.5
572,4,12,3.0
573,1,50,12.5
574,3,49,12.25
575,3,22,5.5
576,3,44,11.0
577,1,44,11.0
578,2,16,4.0
579,2,15,3.75
580,1,72,18.0
581,3,10,2.5
582,3,4,1.0
583,1,23,5.75
584,2,23,5.75
585,3,9,2.25
586,3,9,2.25
587,3,28,7.0
588,4,27,6.75
589,1,34,8.5
590,2,34,8.5
591,1,16,4.0
592,3,8,2.0
593,3,22,5.5
594,3,13,3.25
595,1,22,5.5
596,4,9,2.25
597,3,14,3.5
598,3,16,4.0
599,2,18,4.5
600,1,5,1.25
601,2,26,6.5
602,1,25,6.25
603,2,11,2.75
604,4,12,3.0
605,3,33,8.25
606,2,26,6.5
607,2,27,6.75
608,1,13,3.25
609,4,26,6.5
610,4,21,5.25
611,2,12,3.0
612,3,10,2.5
613,3,23,5.75
614,1,21,5.25
615,2,23,5.75
616,2,21,5.25
617,3,12,3.0
618,2,37,9.25
619,3,12,3.0
620,3,15,3.75
621,1,19,4.75
622,1,35,8.75
623,3,47,11.75
624,2,20,5.0
625,1,20,5.0
626,3,9,2.25
627,3,12,3.0
628,3,37,9.25
629,3,19,4.75
630,4,23,5.75
631,3,22,5.5
632,1,14,3.5
633,2,25,6.25
634,2,26,6.5
635,3,25,6.25
636,1,5,1.25
637,3,10,2.5
638,2,28,7.0
639,4,29,7.25
640,2,37,9.25
641,1,14,3.5
642,4,46,11.5
643,3,12,3.0
644,2,57,14.25
645,3,20,5.0
646,3,28,7.0
647,2,63,15.75
648,4,10,2.5
649,4,38,9.5
650,2,31,7.75
651,1,10,2.5
652,2,52,13.0
653,4,17,4.25
654,2,31,7.75
655,3,21,5.25
656,3,11,2.75
657,3,16,4.0
658,3,28,7.0
659,3,22,5.5
660,1,73,18.25
661,3,9,2.25
662,4,68,17.0
663,1,33,8.25
664,3,47,11.75
665,4,23,5.75
666,1,24,6.0
667,3,36,9.0
668,3,47,11.75
669,3,24,6.0
670,4,3,0.75
671,4,30,7.5
672,1,26,6.5
673,2,26,6.5
674,2,16,4.0
675,3,29,7.25
676,2,67,16.75
677,3,11,2.75
678,4,21,5.25
679,3,20,5.0
680,4,13,3.25
681,2,24,6.0
